,vacance_name,salary_min,salary_max,salary_curr,href,source
89,Senior Data Scientist,,,,https://hh.ru/vacancy/76781473?from=vacancy_search_list&query=Data+scientist,
90,Team Lead Data Scientist,,,,https://hh.ru/vacancy/76859310?from=vacancy_search_list&query=Data+scientist,
91,Data Scientist (Динамическое ценообразование),,,,https://hh.ru/vacancy/76522323?from=vacancy_search_list&query=Data+scientist,
92,Data scientist,,,,https://hh.ru/vacancy/75598717?from=vacancy_search_list&query=Data+scientist,
93,Lead Data Scientist (Руководитель отдела моделирования и анализа больших данных),,,,https://hh.ru/vacancy/75284249?from=vacancy_search_list&query=Data+scientist,
94,Middle Data Scientist (Северсталь Диджитал),,,,https://hh.ru/vacancy/75932115?from=vacancy_search_list&query=Data+scientist,
95,Data Scientist,,,,https://hh.ru/vacancy/76155408?from=vacancy_search_list&query=Data+scientist,
96,Data Scientist (Рекламные технологии),,,,https://hh.ru/vacancy/76453041?from=vacancy_search_list&query=Data+scientist,
97,Data Scientist (Группа платформы экспериментов),,,,https://hh.ru/vacancy/73330908?from=vacancy_search_list&query=Data+scientist,
98,Data Scientist (Транскодинг),,,,https://hh.ru/vacancy/73255259?from=vacancy_search_list&query=Data+scientist,
99,Lead Data Scientist at Sberbank Corporate,,,,https://hh.ru/vacancy/76827664?from=vacancy_search_list&query=Data+scientist,
100,Data Scientist в команду лояльности СберСпасибо,,,,https://hh.ru/vacancy/76144993?from=vacancy_search_list&query=Data+scientist,
101,Data Analyst,,,,https://hh.ru/vacancy/76385534?from=vacancy_search_list&query=Data+scientist,http://www.manpower.ru
102,Middle+ Data Scientist на продукт Маркетолог (Big Data),,,,https://hh.ru/vacancy/76491071?from=vacancy_search_list&query=Data+scientist,
103,Middle Data Scientist,,,,https://hh.ru/vacancy/76379602?from=vacancy_search_list&query=Data+scientist,
104,Lead/Senior Data scientist,,,,https://hh.ru/vacancy/76587872?from=vacancy_search_list&query=Data+scientist,
105,Data Scientist NLP,,,,https://hh.ru/vacancy/76092704?from=vacancy_search_list&query=Data+scientist,
106,Data Scientist (Senior),,,,https://hh.ru/vacancy/73254256?from=vacancy_search_list&query=Data+scientist,
107,"Data scientist (проект ""Антиспам"")",,,,https://hh.ru/vacancy/69774675?from=vacancy_search_list&query=Data+scientist,
108,Руководитель группы Data scientist,,,,https://hh.ru/vacancy/76116187?from=vacancy_search_list&query=Data+scientist,
109,Senior Data Scientist,,,,https://hh.ru/vacancy/76576075?from=vacancy_search_list&query=Data+scientist,
110,Data Engineer (внедрение моделей),,,,https://hh.ru/vacancy/76286200?from=vacancy_search_list&query=Data+scientist,
111,Lead Data Scientist,,,,https://hh.ru/vacancy/76403695?from=vacancy_search_list&query=Data+scientist,
112,Senior Data Scientist в направление рекламной платформы RnD (Big Data),,,,https://hh.ru/vacancy/74317205?from=vacancy_search_list&query=Data+scientist,
113,Senior Data Scientist (remote),,,,https://hh.ru/vacancy/74141902?from=vacancy_search_list&query=Data+scientist,http://robo.finance
114,Senior Data Scientist,,,,https://hh.ru/vacancy/76333170?from=vacancy_search_list&query=Data+scientist,
115,Data scientist (middle),,,,https://hh.ru/vacancy/76143654?from=vacancy_search_list&query=Data+scientist,http://www.successlink.ru
116,Middle/Senior Data Scientist в направление Рекомендательной платформы (Big Data),,,,https://hh.ru/vacancy/76384250?from=vacancy_search_list&query=Data+scientist,
117,Senior Data scientist,,,,https://hh.ru/vacancy/70865878?from=vacancy_search_list&query=Data+scientist,
